mal_id,title,score,scored_by,genres,type,episodes,status,popularity
52991,Sousou no Frieren,9.29,745273,"Adventure, Drama, Fantasy, Shounen",,28,finished_airing,1242189
57555,Chainsaw Man Movie: Reze-hen,9.17,43778,"Action, Fantasy, Gore, Shounen, Urban Fantasy",,1,finished_airing,195910
5114,Fullmetal Alchemist: Brotherhood,9.1,2255303,"Action, Adventure, Drama, Fantasy, Military, Shounen",,64,finished_airing,3587353
9253,Steins;Gate,9.07,1486784,"Drama, Psychological, Sci-Fi, Suspense, Time Travel",,24,finished_airing,2744750
38524,Shingeki no Kyojin Season 3 Part 2,9.05,1735525,"Action, Drama, Gore, Military, Shounen, Survival, Suspense",,10,finished_airing,2506779
39486,Gintama: The Final,9.05,83174,"Action, Comedy, Drama, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,1,finished_airing,175787
28977,Gintama°,9.05,267373,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,51,finished_airing,677847
11061,Hunter x Hunter (2011),9.03,1919260,"Action, Adventure, Fantasy, Shounen",,148,finished_airing,3092166
60022,One Piece Fan Letter,9.03,95097,"Action, Adventure, Fantasy, Shounen",,1,finished_airing,130790
820,Ginga Eiyuu Densetsu,9.02,85538,"Adult Cast, Drama, Military, Sci-Fi, Space",,110,finished_airing,351920
9969,Gintama',9.02,252438,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,51,finished_airing,599824
15417,Gintama': Enchousen,9.02,176006,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,13,finished_airing,350921
41467,Bleach: Sennen Kessen-hen,8.99,356096,"Action, Adventure, Shounen, Supernatural",,13,finished_airing,664988
34096,Gintama.,8.98,156688,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,12,finished_airing,340950
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,605426,"Comedy, Romance, School, Seinen",,13,finished_airing,1064046
42938,Fruits Basket: The Final,8.94,270108,"Drama, Romance, Shoujo, Supernatural",,13,finished_airing,543711
4181,Clannad: After Story,8.93,689206,"Drama, Romance",,24,finished_airing,1261443
918,Gintama,8.93,416887,"Action, Comedy, Gag Humor, Historical, Parody, Samurai, Sci-Fi, Shounen",,201,finished_airing,1132140
28851,Koe no Katachi,8.93,1745216,"Award Winning, Drama, Shounen",,1,finished_airing,2534943
61517,Kingdom 6th Season,8.92,2302,"Action, Historical, Military, Seinen",,0,currently_airing,20412
58514,Kusuriya no Hitorigoto 2nd Season,8.91,196067,"Drama, Historical, Medical, Mystery",,24,finished_airing,413494
2904,Code Geass: Hangyaku no Lelouch R2,8.91,1267979,"Award Winning, Drama, Mecha, Military, Sci-Fi, Super Power",,25,finished_airing,1906058
