user_id,mal_id,rating
1,37987,8
1,60098,9
1,35247,9
1,19,7
1,34096,7
1,58514,7
2,58514,7
2,34096,8
2,37510,7
2,28977,7
2,17074,9
3,57555,7
3,42938,9
3,51535,6
3,918,8
3,49387,8
3,2921,7
4,199,5
4,32281,8
4,1,10
4,2904,8
4,49387,7
5,263,7
5,59571,6
5,37521,10
5,5114,10
5,40682,5
5,38524,9
6,31758,10
6,918,10
6,54492,8
6,15335,4
6,37510,7
6,4181,9
7,60489,10
7,4181,9
7,2904,5
7,59571,10
7,37491,8
7,15417,10
8,35180,8
8,49387,6
8,15335,6
8,32935,5
8,59571,6
9,37510,9
9,47917,10
9,51535,7
9,49387,10
9,53447,8
10,59571,6
10,49387,10
10,199,10
10,263,9
10,2921,8
10,35247,9
11,9253,10
11,60022,7
11,53447,5
11,59571,8
11,37987,9
11,32281,10
12,40682,7
12,42938,7
12,5114,9
12,37987,9
12,35247,6
12,37491,9
13,59571,7
13,51535,8
13,52991,7
13,53447,6
13,37510,8
14,52991,10
14,35247,8
14,2921,4
14,41467,10
14,38524,8
15,28851,8
15,53447,9
15,49387,8
15,37987,5
15,2921,9
16,42938,10
16,40682,7
16,199,7
16,2904,10
16,11061,10
16,28851,10
17,35180,9
17,60098,4
17,39486,7
17,5114,3
17,51535,9
17,28851,9
18,43608,9
18,41467,6
18,60489,9
18,5114,7
18,263,8
18,61517,6
19,28977,10
19,57555,8
19,58514,9
19,48583,8
19,31758,7
19,43608,10
20,15417,10
20,1,7
20,37521,8
20,5114,7
20,35247,8
20,57555,8
21,35180,8
21,36838,7
21,28977,8
21,5114,8
21,2904,7
21,15417,10
22,34096,8
22,53447,6
22,39486,9
22,52991,4
22,37987,8
22,263,8
23,53447,6
23,54492,6
23,36838,10
23,918,10
23,35247,9
23,15335,6
24,2921,9
24,37521,8
24,9969,7
24,54492,9
24,59571,8
24,15335,8
25,263,8
25,59571,9
25,28977,8
25,37491,7
25,918,7
26,60098,8
26,32935,9
26,49387,9
26,9969,10
26,35180,10
26,34096,10
27,38524,10
27,60098,9
27,199,4
27,15335,7
27,47917,9
28,2921,8
28,35180,7
28,40682,6
28,60489,7
28,32935,5
28,48583,9
29,15335,5
29,2921,9
29,32281,8
29,28977,8
29,43608,10
29,31758,8
30,52991,8
30,53447,6
30,37987,9
30,35180,10
30,60098,8
30,31758,10
31,9253,7
31,47917,7
31,1,9
31,28977,8
31,36838,9
31,60098,8
32,37987,8
32,32281,8
32,19,8
32,52991,8
32,28977,10
33,38524,7
33,48583,9
33,51535,9
33,52991,8
33,61517,8
34,263,8
34,37491,7
34,40682,7
34,61517,9
34,59571,7
35,40682,10
35,36838,6
35,58514,8
35,40028,7
35,37510,7
35,39486,10
36,60489,8
36,40028,7
36,58514,9
36,263,8
36,39486,8
36,34096,8
37,918,7
37,53447,9
37,28851,9
37,47917,8
37,28977,10
37,54492,6
38,49387,8
38,57555,9
38,11061,6
38,28851,9
38,32935,8
39,35247,9
39,41467,9
39,47917,9
39,820,7
39,61517,9
39,9253,9
40,263,9
40,35247,7
40,28977,10
40,15335,9
40,42938,8
40,32281,8
41,32281,7
41,1,8
41,37491,7
41,47917,6
41,42938,9
42,51535,8
42,9253,9
42,57555,8
42,263,9
42,42938,8
43,263,10
43,15417,6
43,53447,8
43,43608,5
43,35180,9
43,57555,8
44,57555,10
44,37491,7
44,918,6
44,4181,7
44,37521,7
44,40682,7
45,43608,7
45,48583,9
45,51535,6
45,57555,10
45,49387,7
45,15417,7
46,19,8
46,5114,7
46,2904,8
46,31758,10
46,37521,7
47,37491,8
47,60098,7
47,40028,8
47,47917,10
47,2921,7
47,43608,9
48,2904,9
48,41467,8
48,17074,8
48,48583,9
48,2921,9
49,49387,7
49,37521,5
49,60098,8
49,2904,8
49,2921,6
49,42938,7
50,918,7
50,19,10
50,52991,7
50,2921,9
50,17074,8
51,1,7
51,48583,9
51,51535,8
51,54492,8
51,37987,8
51,39486,8
52,60489,8
52,37510,8
52,918,8
52,57555,8
52,32281,8
53,15417,8
53,32281,7
53,2904,9
53,9253,8
53,5114,9
53,37987,9
54,2921,7
54,60022,9
54,42938,9
54,60098,8
54,9253,9
54,59571,7
55,40028,9
55,58514,10
55,34096,8
55,15417,7
55,60098,10
56,38524,10
56,36838,9
56,60489,8
56,40682,7
56,32281,7
56,35180,8
57,15417,8
57,61517,10
57,1,6
57,28851,7
57,199,10
57,41467,9
58,38524,7
58,37521,9
58,15335,5
58,820,8
58,54492,8
59,40682,9
59,60022,8
59,2921,7
59,60489,8
59,34096,7
59,11061,7
60,40682,9
60,61517,7
60,43608,7
60,49387,10
60,4181,8
61,52991,8
61,60098,10
61,32935,8
61,9253,10
61,39486,5
62,37510,7
62,60098,7
62,1,8
62,53447,10
62,19,7
63,61517,6
63,32935,8
63,11061,10
63,43608,8
63,47917,6
64,17074,7
64,60489,10
64,28851,9
64,51535,7
64,53447,8
65,60098,9
65,60022,8
65,54492,5
65,263,9
65,61517,7
65,11061,7
66,15417,9
66,54492,6
66,32935,7
66,37491,9
66,59571,7
66,28851,9
67,41467,9
67,34096,7
67,59571,6
67,60098,9
67,19,6
68,263,8
68,47917,8
68,40682,8
68,52991,9
68,54492,7
69,37491,9
69,58514,8
69,57555,9
69,35180,10
69,41467,10
70,35180,6
70,1,10
70,53447,8
70,918,8
70,60489,8
70,11061,8
71,60098,7
71,918,8
71,51535,6
71,41467,8
71,47917,10
71,2904,9
72,37510,7
72,15417,8
72,263,10
72,35180,7
72,28851,9
73,9253,8
73,28851,8
73,15335,7
73,36838,10
73,58514,6
74,57555,7
74,820,10
74,15335,9
74,32935,8
74,39486,10
75,17074,8
75,32281,5
75,48583,10
75,4181,7
75,1,10
75,39486,8
76,41467,8
76,36838,8
76,4181,7
76,52991,8
76,19,7
76,31758,6
77,820,9
77,37521,6
77,199,7
77,2921,9
77,53447,9
78,60489,7
78,57555,9
78,48583,9
78,15335,7
78,37987,10
78,9253,9
79,35180,10
79,15417,6
79,34096,9
79,41467,8
79,61517,8
80,43608,10
80,37510,8
80,1,8
80,61517,10
80,2921,6
80,38524,8
81,28851,8
81,1,9
81,35180,9
81,59571,10
81,51535,8
82,41467,9
82,60098,6
82,28851,9
82,31758,10
82,40682,8
83,2921,9
83,820,8
83,42938,6
83,15417,7
83,15335,7
84,60098,8
84,58514,9
84,918,8
84,38524,8
84,61517,6
84,40028,10
85,37510,8
85,53447,7
85,60098,6
85,54492,7
85,1,9
85,40682,8
86,19,10
86,2921,6
86,32935,7
86,40028,7
86,32281,8
86,38524,7
87,40682,10
87,60022,8
87,4181,6
87,38524,8
87,51535,5
87,15417,9
88,15417,9
88,5114,9
88,37491,8
88,57555,8
88,35180,10
89,37510,8
89,15335,9
89,31758,8
89,35247,6
89,15417,8
90,19,9
90,60022,10
90,40028,7
90,43608,10
90,59571,7
91,54492,10
91,35180,8
91,59571,7
91,17074,7
91,37987,8
92,15335,8
92,28851,5
92,36838,8
92,54492,6
92,199,8
92,43608,10
93,49387,8
93,28851,7
93,199,9
93,42938,6
93,2904,7
93,60022,10
94,53447,8
94,60489,8
94,820,7
94,48583,8
94,52991,9
95,35247,8
95,28977,8
95,9969,7
95,53447,10
95,17074,9
95,38524,6
96,11061,10
96,47917,10
96,43608,9
96,52991,10
96,37987,7
97,37491,9
97,15335,7
97,57555,9
97,4181,6
97,60098,9
97,35180,8
98,40682,9
98,39486,9
98,28851,8
98,35247,7
98,9253,9
99,60489,8
99,31758,6
99,1,9
99,918,8
99,28977,9
100,35180,10
100,15335,5
100,47917,8
100,32935,9
100,59571,7
101,28851,7
101,9969,9
101,38524,9
101,43608,7
101,51535,5
102,40028,7
102,34096,10
102,263,9
102,47917,10
102,199,9
103,199,8
103,41467,9
103,43608,6
103,9969,7
103,2904,7
104,60098,9
104,37987,10
104,43608,9
104,60022,10
104,2921,7
105,11061,10
105,19,7
105,60098,7
105,37521,6
105,54492,9
105,820,7
106,34096,10
106,2904,8
106,53447,4
106,60098,8
106,28851,9
107,37510,8
107,4181,8
107,53447,9
107,2921,9
107,35180,10
108,37521,9
108,57555,8
108,9969,7
108,42938,9
108,41467,7
108,15417,10
109,32281,9
109,59571,6
109,11061,8
109,34096,5
109,61517,9
110,15417,10
110,263,5
110,39486,7
110,2904,9
110,37987,7
111,48583,8
111,15335,5
111,52991,6
111,32281,4
111,32935,9
112,60022,7
112,9969,8
112,15417,7
112,32281,5
112,53447,8
113,60098,7
113,57555,5
113,4181,9
113,263,9
113,11061,6
114,39486,9
114,60098,8
114,37987,7
114,35180,9
114,15417,9
115,918,8
115,37491,10
115,41467,10
115,17074,6
115,37521,10
115,37510,10
116,199,8
116,38524,9
116,35180,9
116,5114,8
116,37987,7
116,32281,9
117,36838,7
117,59571,8
117,263,10
117,37521,9
117,28977,9
118,34096,7
118,36838,8
118,48583,7
118,58514,9
118,53447,9
119,52991,10
119,53447,9
119,40682,8
119,918,7
119,199,8
120,60489,6
120,2921,7
120,28851,8
120,37521,7
120,39486,7
121,42938,10
121,40682,7
121,32281,10
121,59571,6
121,4181,10
122,31758,9
122,37987,7
122,35180,9
122,9969,4
122,53447,7
122,28851,7
123,34096,8
123,2904,8
123,38524,10
123,28851,7
123,60489,9
124,5114,7
124,39486,9
124,32281,9
124,47917,9
124,820,9
125,58514,8
125,263,9
125,36838,9
125,51535,6
125,40682,7
126,37491,6
126,36838,7
126,52991,8
126,60022,8
126,60098,7
126,4181,9
127,39486,9
127,40028,8
127,28977,8
127,37521,10
127,60489,7
127,35247,6
128,263,10
128,9969,10
128,39486,8
128,35247,9
128,37491,5
128,11061,9
129,31758,9
129,37491,9
129,11061,7
129,1,8
129,263,10
129,58514,10
130,40682,8
130,5114,9
130,39486,5
130,37491,6
130,32935,8
131,60098,8
131,17074,7
131,41467,9
131,57555,6
131,263,8
131,61517,6
132,32281,8
132,43608,9
132,54492,9
132,37521,7
132,918,6
133,52991,8
133,37521,10
133,820,9
133,35247,10
133,60489,8
134,5114,7
134,53447,8
134,15335,6
134,17074,7
134,60022,9
134,51535,5
135,48583,8
135,61517,7
135,37491,5
135,11061,7
135,42938,9
136,28977,9
136,32281,9
136,52991,10
136,9969,7
136,9253,8
136,49387,8
137,2921,6
137,60098,5
137,58514,8
137,28977,9
137,52991,7
137,11061,10
138,51535,7
138,37987,10
138,43608,8
138,15417,8
138,40682,10
139,60098,4
139,32281,9
139,31758,9
139,54492,10
139,918,9
139,28851,8
140,35247,8
140,40028,9
140,40682,6
140,28977,9
140,918,8
140,32281,6
141,19,8
141,38524,8
141,43608,9
141,39486,6
141,1,7
141,263,7
142,40028,10
142,32935,6
142,5114,6
142,32281,9
142,2904,10
143,2904,7
143,199,7
143,2921,7
143,11061,10
143,32281,6
144,32281,8
144,9253,8
144,51535,8
144,61517,8
144,41467,6
144,5114,7
145,28977,6
145,263,7
145,54492,10
145,61517,6
145,40028,5
146,9253,9
146,2904,5
146,43608,10
146,42938,8
146,59571,8
147,54492,7
147,37510,9
147,60022,5
147,40682,8
147,820,5
148,61517,7
148,31758,10
148,40028,10
148,17074,8
148,199,9
149,17074,10
149,5114,9
149,820,9
149,40028,8
149,31758,7
150,199,10
150,32935,6
150,60098,7
150,4181,5
150,57555,6
151,54492,8
151,2904,7
151,36838,10
151,32281,10
151,53447,5
152,199,10
152,38524,7
152,2904,5
152,19,7
152,57555,7
152,28977,7
153,42938,7
153,51535,10
153,820,9
153,40028,7
153,60098,6
154,28977,8
154,49387,8
154,32281,6
154,41467,9
154,35247,6
155,34096,8
155,42938,8
155,48583,8
155,918,7
155,15335,8
156,43608,10
156,5114,7
156,42938,7
156,918,9
156,37987,7
157,820,5
157,61517,9
157,47917,6
157,60022,6
157,32935,9
157,263,10
158,42938,6
158,40682,10
158,37987,10
158,5114,10
158,9253,10
158,28977,10
159,60489,9
159,58514,10
159,5114,8
159,43608,10
159,199,7
160,48583,8
160,41467,7
160,1,6
160,4181,6
160,53447,6
160,31758,9
161,28851,9
161,15335,4
161,53447,7
161,28977,10
161,41467,8
162,58514,6
162,42938,8
162,60098,7
162,11061,10
162,35247,8
163,2921,7
163,15417,7
163,60098,8
163,4181,7
163,43608,10
164,61517,5
164,17074,7
164,31758,8
164,48583,7
164,60489,9
165,11061,8
165,37521,9
165,1,7
165,53447,8
165,34096,9
165,61517,5
166,19,8
166,61517,8
166,5114,7
166,51535,6
166,32281,10
167,37510,7
167,36838,9
167,52991,5
167,60098,6
167,28851,10
168,28977,7
168,9969,7
168,60098,7
168,38524,6
168,36838,7
169,2904,7
169,4181,5
169,51535,7
169,40682,9
169,59571,8
169,49387,10
170,35180,8
170,57555,9
170,53447,8
170,31758,6
170,918,6
170,43608,9
171,5114,10
171,60022,8
171,28851,9
171,54492,6
171,1,10
172,1,10
172,28977,9
172,40028,9
172,34096,8
172,47917,8
172,15417,10
173,15417,10
173,40028,10
173,52991,8
